event_type,distance_sb,mean_xT,std_xT,delta_vs_baseline
Carry,0.0,0.08954773627071824,0.1431641547824857,-0.02416080367100898
Carry,0.25,0.0910552740527607,0.14598337785830176,-0.022653265888966517
Carry,0.5,0.09403014846857469,0.1498600289919131,-0.019678391473152534
Carry,0.75,0.09684421836992904,0.15627410993731036,-0.01686432157179818
Carry,1.0,0.10062311340179575,0.16310003305794082,-0.013085426539931472
Carry,1.25,0.10262311298830724,0.16555146882372182,-0.011085426953419977
Carry,1.5,0.10501507273009375,0.1713765534568769,-0.008693467211633471
Carry,1.75,0.10856281152397544,0.17754394636338441,-0.00514572841775178
Carry,2.0,0.11045225815257835,0.1848908259304662,-0.003256281789148871
Carry,2.25,0.11413065053934428,0.18742883799476673,0.0004221105976170564
Carry,2.5,0.1150552734414387,0.18974690953155895,0.0013467334997114833
Carry,2.75,0.11725627795685475,0.18956126951905736,0.003547738015127533
Carry,3.0,0.11932663021038226,0.194691992554451,0.005618090268655035
Carry,3.25,0.12424120310151097,0.198919443792868,0.010532663159783753
Carry,3.5,0.12316582613816512,0.19973380717837655,0.009457286196437903
Carry,3.75,0.12290451948966213,0.19854269036165975,0.009195979547934913
Carry,4.0,0.12493467023549368,0.20183546913093411,0.011226130293766456
Carry,4.25,0.12723617752517888,0.20302807560105046,0.013527637583451657
Carry,4.5,0.12781909216738227,0.2039897655964635,0.014110552225655049
Carry,4.75,0.12846230833449557,0.20332844780884465,0.014753768392768346
Carry,5.0,0.13059296180030808,0.2064584065875293,0.016884421858580856
Pass,0.0,0.060060300120157215,0.11584080133806034,-0.05364823982157001
Pass,0.25,0.058271355211884535,0.11073816307399949,-0.05543718472984269
Pass,0.5,0.05846231019302229,0.11430342607249255,-0.05524622974870493
Pass,0.75,0.057618088870491815,0.11092509227943774,-0.056090451071235406
Pass,1.0,0.05642210914561497,0.11117672186327149,-0.05728643079611225
Pass,1.25,0.055999998544253894,0.11085541945825712,-0.05770854139747333
Pass,1.5,0.05595979772732785,0.11203713459165399,-0.05774874221439937
Pass,1.75,0.05525627996791248,0.10779847687143908,-0.058452259973814744
Pass,2.0,0.055668340181585535,0.11013299357009626,-0.058040199760141686
Pass,2.25,0.056150752229232284,0.1102749268384867,-0.05755778771249494
Pass,2.5,0.056341707073713665,0.11125904949640537,-0.057366832868013556
Pass,2.75,0.05579899352362108,0.10912368713145985,-0.05790954641810614
Pass,3.0,0.05616080256450416,0.10928609632710096,-0.05754773737722306
Pass,3.25,0.05640200851812734,0.10753575375903562,-0.05730653142359988
Pass,3.5,0.05633165693687434,0.10706270198563812,-0.05737688300485288
Pass,3.75,0.055326631786910135,0.10448999539046717,-0.058381908154817086
Pass,4.0,0.05558793837550897,0.10446095448147269,-0.058120601566218254
Pass,4.25,0.05684421971702396,0.10274860963340429,-0.05686432022470326
Pass,4.5,0.05730653119708725,0.10577296693061117,-0.05640200874463997
Pass,4.75,0.05574874228905493,0.10226930982386788,-0.05795979765267229
Pass,5.0,0.056050249761971996,0.10002802096236713,-0.057658290179755226
